Question,SQL Query,Method,Table,Label
"Among patients receiving either surgical treatment aged between 18 and 49 years or radiation therapy for those under 18, what is the greatest treatment cost recorded?","SELECT MAX(Cost) AS Cost FROM (SELECT Cost AS Cost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Surgery"" AND PatientAgeGroup = ""35-49"" UNION ALL SELECT Cost AS Cost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Surgery"" AND PatientAgeGroup = ""18-34"" UNION ALL SELECT Cost AS Cost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Radiation Therapy"" AND PatientAgeGroup = ""0-17"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Outcome</th>
      <th>Improved</th>
      <th>Unchanged</th>
      <th>Worsened</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th>PatientAgeGroup</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""2"" valign=""top"">Chemotherapy</th>
      <th>35-49</th>
      <td>49775.166657</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>65+</th>
      <td>38886.298587</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""5"" valign=""top"">Immunotherapy</th>
      <th>0-17</th>
      <td>NaN</td>
      <td>22051.501557</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>18-34</th>
      <td>45741.338902</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>35-49</th>
      <td>10849.079629</td>
      <td>NaN</td>
      <td>41021.096300</td>
    </tr>
    <tr>
      <th>50-64</th>
      <td>NaN</td>
      <td>13139.989550</td>
      <td>13011.974177</td>
    </tr>
    <tr>
      <th>65+</th>
      <td>32253.157823</td>
      <td>NaN</td>
      <td>43129.935754</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Radiation Therapy</th>
      <th>0-17</th>
      <td>NaN</td>
      <td>9961.575272</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>18-34</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>20962.430592</td>
    </tr>
    <tr>
      <th>50-64</th>
      <td>33772.161320</td>
      <td>NaN</td>
      <td>11247.572818</td>
    </tr>
    <tr>
      <th>65+</th>
      <td>6628.932323</td>
      <td>NaN</td>
      <td>26943.768138</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Surgery</th>
      <th>0-17</th>
      <td>NaN</td>
      <td>46410.027722</td>
      <td>49004.030035</td>
    </tr>
    <tr>
      <th>18-34</th>
      <td>12750.966477</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>35-49</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>38865.226518</td>
    </tr>
  </tbody>
</table>",38865.226518
"Among Metformin with headache, Aspirin with fatigue, and Lisinopril with nausea, which medication-side effect combination achieves the greatest effectiveness rating?","SELECT MAX(EffectivenessScore) AS EffectivenessScore FROM (SELECT EffectivenessScore AS EffectivenessScore FROM MedicationEffectiveness WHERE MedicationName = ""Metformin"" AND SideEffects = ""Headache"" UNION ALL SELECT EffectivenessScore AS EffectivenessScore FROM MedicationEffectiveness WHERE MedicationName = ""Aspirin"" AND SideEffects = ""Fatigue"" UNION ALL SELECT EffectivenessScore AS EffectivenessScore FROM MedicationEffectiveness WHERE MedicationName = ""Lisinopril"" AND SideEffects = ""Nausea"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>MedicationName</th>
      <th>Aspirin</th>
      <th>Ibuprofen</th>
      <th>Lisinopril</th>
      <th>Metformin</th>
    </tr>
    <tr>
      <th>SideEffects</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Dizziness</th>
      <td>3.530715</td>
      <td>1.828081</td>
      <td>8.480104</td>
      <td>6.027829</td>
    </tr>
    <tr>
      <th>Fatigue</th>
      <td>6.197176</td>
      <td>4.199084</td>
      <td>5.654581</td>
      <td>3.483876</td>
    </tr>
    <tr>
      <th>Headache</th>
      <td>4.413033</td>
      <td>2.754901</td>
      <td>8.336808</td>
      <td>0.483275</td>
    </tr>
    <tr>
      <th>Nausea</th>
      <td>1.770018</td>
      <td>3.213467</td>
      <td>6.780906</td>
      <td>5.029803</td>
    </tr>
  </tbody>
</table>",6.780906
"Among the average treatment expenses for patients experiencing mild nausea and those with moderate levels of fever, fatigue, or headache, which condition incurs the greatest cost?","SELECT MAX(AverageTreatmentCost) AS AverageTreatmentCost FROM (SELECT AverageTreatmentCost AS AverageTreatmentCost FROM HospitalAdmissionsSymptomMetrics WHERE SymptomDescription = ""Nausea"" AND SeverityLevel = ""Mild"" UNION ALL SELECT AverageTreatmentCost AS AverageTreatmentCost FROM HospitalAdmissionsSymptomMetrics WHERE SymptomDescription = ""Fever"" AND SeverityLevel = ""Moderate"" UNION ALL SELECT AverageTreatmentCost AS AverageTreatmentCost FROM HospitalAdmissionsSymptomMetrics WHERE SymptomDescription = ""Fatigue"" AND SeverityLevel = ""Moderate"" UNION ALL SELECT AverageTreatmentCost AS AverageTreatmentCost FROM HospitalAdmissionsSymptomMetrics WHERE SymptomDescription = ""Headache"" AND SeverityLevel = ""Moderate"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>SymptomDescription</th>
      <th>Cough</th>
      <th>Fatigue</th>
      <th>Fever</th>
      <th>Headache</th>
      <th>Nausea</th>
    </tr>
    <tr>
      <th>SeverityLevel</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Mild</th>
      <td>5977.494934</td>
      <td>5756.494038</td>
      <td>9095.597627</td>
      <td>7754.131963</td>
      <td>515.193628</td>
    </tr>
    <tr>
      <th>Moderate</th>
      <td>1907.783561</td>
      <td>4576.689362</td>
      <td>2777.337151</td>
      <td>9209.074721</td>
      <td>7032.763741</td>
    </tr>
    <tr>
      <th>Severe</th>
      <td>3860.935978</td>
      <td>7232.679301</td>
      <td>8141.075366</td>
      <td>8062.452346</td>
      <td>7445.268349</td>
    </tr>
  </tbody>
</table>",9209.074721
"Among the average wait times for hypertension cases at Community Health Clinic, flu patients at City Hospital, and asthma sufferers at both General Medical Center and City Hospital, what is the shortest recorded waiting period?","SELECT MIN(AverageWaitingTime) AS AverageWaitingTime FROM (SELECT AverageWaitingTime AS AverageWaitingTime FROM PatientVisitStatistics WHERE HospitalName = ""Community Health Clinic"" AND DiagnosisType = ""Hypertension"" UNION ALL SELECT AverageWaitingTime AS AverageWaitingTime FROM PatientVisitStatistics WHERE HospitalName = ""City Hospital"" AND DiagnosisType = ""Flu"" UNION ALL SELECT AverageWaitingTime AS AverageWaitingTime FROM PatientVisitStatistics WHERE HospitalName = ""General Medical Center"" AND DiagnosisType = ""Asthma"" UNION ALL SELECT AverageWaitingTime AS AverageWaitingTime FROM PatientVisitStatistics WHERE HospitalName = ""City Hospital"" AND DiagnosisType = ""Asthma"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>DiagnosisType</th>
      <th>Allergy</th>
      <th>Asthma</th>
      <th>Diabetes</th>
      <th>Flu</th>
      <th>Hypertension</th>
    </tr>
    <tr>
      <th>HospitalName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>City Hospital</th>
      <td>6.275642</td>
      <td>3.640574</td>
      <td>7.342968</td>
      <td>5.617219</td>
      <td>6.595387</td>
    </tr>
    <tr>
      <th>Community Health Clinic</th>
      <td>1.692532</td>
      <td>5.811923</td>
      <td>2.501487</td>
      <td>2.698785</td>
      <td>5.552280</td>
    </tr>
    <tr>
      <th>Downtown Healthcare Facility</th>
      <td>4.718996</td>
      <td>1.996176</td>
      <td>2.185852</td>
      <td>2.958799</td>
      <td>4.054370</td>
    </tr>
    <tr>
      <th>General Medical Center</th>
      <td>3.190899</td>
      <td>4.557133</td>
      <td>6.037664</td>
      <td>3.451855</td>
      <td>1.873840</td>
    </tr>
  </tbody>
</table>",3.640574
"Among the follow-up costs for patients undergoing lifestyle modifications for diabetes, surgical treatment for cardiovascular disease, and physical therapy for asthma, which one has the smallest expense?","SELECT MIN(FollowUpCost) AS FollowUpCost FROM (SELECT FollowUpCost AS FollowUpCost FROM PatientHealthData WHERE HealthCondition = ""Diabetes"" AND TreatmentPlan = ""Lifestyle Changes"" UNION ALL SELECT FollowUpCost AS FollowUpCost FROM PatientHealthData WHERE HealthCondition = ""Cardiovascular Disease"" AND TreatmentPlan = ""Surgery"" UNION ALL SELECT FollowUpCost AS FollowUpCost FROM PatientHealthData WHERE HealthCondition = ""Asthma"" AND TreatmentPlan = ""Physical Therapy"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>HealthCondition</th>
      <th>Asthma</th>
      <th>Cardiovascular Disease</th>
      <th>Diabetes</th>
      <th>Hypertension</th>
    </tr>
    <tr>
      <th>TreatmentPlan</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Lifestyle Changes</th>
      <td>3938.244299</td>
      <td>4416.160079</td>
      <td>303.840098</td>
      <td>3559.317604</td>
    </tr>
    <tr>
      <th>Medication Only</th>
      <td>3748.977931</td>
      <td>4705.407468</td>
      <td>3000.725787</td>
      <td>1464.466719</td>
    </tr>
    <tr>
      <th>Physical Therapy</th>
      <td>2856.833707</td>
      <td>3190.798373</td>
      <td>2487.718388</td>
      <td>1554.678756</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>1230.171319</td>
      <td>1324.194227</td>
      <td>2790.727650</td>
      <td>529.676921</td>
    </tr>
  </tbody>
</table>",303.840098
"Among patients who either required follow-up after an emergency routine checkup, had a follow-up visit with a specialist without needing further follow-up, underwent a follow-up visit in emergency care requiring additional follow-up, or attended a follow-up appointment in primary care without subsequent follow-up, what is the smallest satisfaction rating recorded?","SELECT MIN(PatientSatisfactionScore) AS PatientSatisfactionScore FROM (SELECT PatientSatisfactionScore AS PatientSatisfactionScore FROM PatientFeedbackSurvey WHERE CareType = ""Emergency Care"" AND VisitReason = ""Routine Checkup"" AND FollowUpNeeded = ""Yes"" UNION ALL SELECT PatientSatisfactionScore AS PatientSatisfactionScore FROM PatientFeedbackSurvey WHERE CareType = ""Specialist Care"" AND VisitReason = ""Follow-up Visit"" AND FollowUpNeeded = ""No"" UNION ALL SELECT PatientSatisfactionScore AS PatientSatisfactionScore FROM PatientFeedbackSurvey WHERE CareType = ""Emergency Care"" AND VisitReason = ""Follow-up Visit"" AND FollowUpNeeded = ""Yes"" UNION ALL SELECT PatientSatisfactionScore AS PatientSatisfactionScore FROM PatientFeedbackSurvey WHERE CareType = ""Primary Care"" AND VisitReason = ""Follow-up Visit"" AND FollowUpNeeded = ""No"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>CareType</th>
      <th>Emergency Care</th>
      <th>Primary Care</th>
      <th>Specialist Care</th>
    </tr>
    <tr>
      <th>VisitReason</th>
      <th>FollowUpNeeded</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""2"" valign=""top"">Follow-up Visit</th>
      <th>No</th>
      <td>4.892412</td>
      <td>7.986034</td>
      <td>8.405823</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>4.854952</td>
      <td>0.517386</td>
      <td>8.123290</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Routine Checkup</th>
      <th>No</th>
      <td>0.715859</td>
      <td>5.616267</td>
      <td>3.693629</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>3.466795</td>
      <td>0.416532</td>
      <td>0.023319</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Urgent Issue</th>
      <th>No</th>
      <td>7.546009</td>
      <td>7.887739</td>
      <td>6.666720</td>
    </tr>
    <tr>
      <th>Yes</th>
      <td>6.885617</td>
      <td>5.105280</td>
      <td>8.888151</td>
    </tr>
  </tbody>
</table>",3.466795
"Among the medications Metformin (in grams), Amoxicillin (in milligrams), and Lisinopril (in milligrams), what is the greatest recorded cost?","SELECT MAX(MedicationCost) AS MedicationCost FROM (SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationName = ""Metformin"" AND DosageUnit = ""g"" UNION ALL SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationName = ""Amoxicillin"" AND DosageUnit = ""mg"" UNION ALL SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationName = ""Lisinopril"" AND DosageUnit = ""mg"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>MedicationName</th>
      <th>Amoxicillin</th>
      <th>Atorvastatin</th>
      <th>Lisinopril</th>
      <th>Metformin</th>
    </tr>
    <tr>
      <th>DosageUnit</th>
      <th>FrequencyOfAdministration</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">g</th>
      <th>As Needed</th>
      <td>397.626440</td>
      <td>17.409325</td>
      <td>107.572673</td>
      <td>393.394402</td>
    </tr>
    <tr>
      <th>Once Daily</th>
      <td>NaN</td>
      <td>144.522609</td>
      <td>440.168758</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Twice Daily</th>
      <td>107.795755</td>
      <td>497.363015</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">mg</th>
      <th>Once Daily</th>
      <td>NaN</td>
      <td>350.371985</td>
      <td>403.078528</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Twice Daily</th>
      <td>327.708910</td>
      <td>120.382177</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">ml</th>
      <th>As Needed</th>
      <td>282.463931</td>
      <td>NaN</td>
      <td>400.218479</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Once Daily</th>
      <td>248.021007</td>
      <td>42.721264</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Twice Daily</th>
      <td>26.869200</td>
      <td>322.000010</td>
      <td>103.436701</td>
      <td>364.631853</td>
    </tr>
  </tbody>
</table>",403.078528
"Among the durations recorded for patients treated with Ciprofloxacin as a medication, Ibuprofen during therapy, Amoxicillin under observation, and Ciprofloxacin in therapy sessions, which treatment lasted the longest?","SELECT MAX(TreatmentDuration) AS TreatmentDuration FROM (SELECT TreatmentDuration AS TreatmentDuration FROM PatientTreatmentHistory WHERE TreatmentType = ""Medication"" AND MedicationName = ""Ciprofloxacin"" UNION ALL SELECT TreatmentDuration AS TreatmentDuration FROM PatientTreatmentHistory WHERE TreatmentType = ""Therapy"" AND MedicationName = ""Ibuprofen"" UNION ALL SELECT TreatmentDuration AS TreatmentDuration FROM PatientTreatmentHistory WHERE TreatmentType = ""Observation"" AND MedicationName = ""Amoxicillin"" UNION ALL SELECT TreatmentDuration AS TreatmentDuration FROM PatientTreatmentHistory WHERE TreatmentType = ""Therapy"" AND MedicationName = ""Ciprofloxacin"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>TreatmentType</th>
      <th>Medication</th>
      <th>Observation</th>
      <th>Surgery</th>
      <th>Therapy</th>
    </tr>
    <tr>
      <th>MedicationName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Amoxicillin</th>
      <td>70.146917</td>
      <td>25.686296</td>
      <td>37.044787</td>
      <td>30.768503</td>
    </tr>
    <tr>
      <th>Aspirin</th>
      <td>20.709837</td>
      <td>42.648531</td>
      <td>23.145647</td>
      <td>50.191841</td>
    </tr>
    <tr>
      <th>Ciprofloxacin</th>
      <td>15.259291</td>
      <td>63.148259</td>
      <td>44.607763</td>
      <td>54.232161</td>
    </tr>
    <tr>
      <th>Ibuprofen</th>
      <td>67.570717</td>
      <td>53.286449</td>
      <td>37.193417</td>
      <td>31.163597</td>
    </tr>
  </tbody>
</table>",54.232161
"Among patients receiving Radiation Therapy who are classified as ""Other"" ethnicity, and those undergoing Chemotherapy or Surgery who identify as African American, what is the greatest treatment expense recorded?","SELECT MAX(TreatmentCost) AS TreatmentCost FROM (SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentRecords WHERE TreatmentType = ""Radiation Therapy"" AND PatientEthnicity = ""Other"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentRecords WHERE TreatmentType = ""Chemotherapy"" AND PatientEthnicity = ""African American"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentRecords WHERE TreatmentType = ""Surgery"" AND PatientEthnicity = ""African American"");",superlative,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>HospitalLocation</th>
      <th>City Center</th>
      <th>Downtown</th>
      <th>Rural</th>
      <th>Suburban</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th>PatientEthnicity</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Chemotherapy</th>
      <th>African American</th>
      <td>49760.449049</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Caucasian</th>
      <td>24548.482069</td>
      <td>30810.224437</td>
      <td>21801.161885</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>38822.553212</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Medication Management</th>
      <th>African American</th>
      <td>NaN</td>
      <td>6399.115518</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Caucasian</th>
      <td>27387.565074</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>18561.258221</td>
    </tr>
    <tr>
      <th>Hispanic</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>44438.395147</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>34159.763534</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Physical Therapy</th>
      <th>Caucasian</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>48053.123154</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>12743.240743</td>
      <td>30946.115197</td>
      <td>NaN</td>
      <td>41570.572721</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Radiation Therapy</th>
      <th>Caucasian</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>44746.242444</td>
    </tr>
    <tr>
      <th>Hispanic</th>
      <td>NaN</td>
      <td>40278.234483</td>
      <td>NaN</td>
      <td>31233.861838</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>NaN</td>
      <td>502.967208</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Surgery</th>
      <th>African American</th>
      <td>23463.583924</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>49160.439293</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",49760.449049
